station,connecting_line,connecting_lineLabel,coordinate_location,station_code,stationLabel
http://www.wikidata.org/entity/Q7665498,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.638653 -23.561892),JQM,Estação São Joaquim
http://www.wikidata.org/entity/Q7665592,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.64075 -23.625609),JUD,Estação São Judas
http://www.wikidata.org/entity/Q18475809,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.544644 -23.5889),SLU,Estação São Lucas
http://www.wikidata.org/entity/Q9290828,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.7238 -23.58572),MBI,Estação São Paulo-Morumbi
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.633522 -23.55059),PSE,Estação Sé
http://www.wikidata.org/entity/Q3132156,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.633522 -23.55059),PSE,Estação Sé
http://www.wikidata.org/entity/Q7688505,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.576184 -23.540314),TAT,Estação Tatuapé
http://www.wikidata.org/entity/Q7688505,http://www.wikidata.org/entity/Q61001198,Ramal de São Paulo,Point(-46.576184 -23.540314),TAT,Estação Tatuapé
http://www.wikidata.org/entity/Q7809083,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.631963 -23.530832),TRD,Estação Tiradentes
http://www.wikidata.org/entity/Q3071513,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.655127 -23.562549),TRI,Estação Trianon-Masp
http://www.wikidata.org/entity/Q3309828,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.603226 -23.480065),TUC,Estação Tucuruvi
http://www.wikidata.org/entity/Q7921287,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.63986 -23.568958),VGO,Estação Vergueiro
http://www.wikidata.org/entity/Q5244825,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.69083 -23.546513),VMD,Estação Vila Madalena
http://www.wikidata.org/entity/Q5686126,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.634667 -23.589431),VMN,Estação Vila Mariana
http://www.wikidata.org/entity/Q7929998,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.530691 -23.531894),VTD,Estação Vila Matilde
http://www.wikidata.org/entity/Q18475862,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.52721 -23.60083),VTL,Estação Vila Tolstói
http://www.wikidata.org/entity/Q18475867,http://www.wikidata.org/entity/Q5430612,Linha 15 do Metrô de São Paulo,Point(-46.51554 -23.60296),VUN,Estação Vila União
http://www.wikidata.org/entity/Q5845376,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.745849 -23.640425),VBE,Estação Vila das Belezas
http://www.wikidata.org/entity/Q111926727,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.720428 -23.655693),STA,Santo Amaro
http://www.wikidata.org/entity/Q5170696,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.471159 -23.542207),ITQ,Terminal Intermodal Corinthians-Itaquera
