station,connecting_line,connecting_lineLabel,coordinate_location,stationLabel
http://www.wikidata.org/entity/Q7239119,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.637861 -23.610576),Estação Praça da Árvore
http://www.wikidata.org/entity/Q10276068,http://www.wikidata.org/entity/Q10278788,Expresso Linha 10,Point(-46.528305555 -23.65225),Estação Prefeito Celso Daniel - Santo André
http://www.wikidata.org/entity/Q10276068,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.528305555 -23.65225),Estação Prefeito Celso Daniel - Santo André
http://www.wikidata.org/entity/Q10276067,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.5365893 -23.6384257),Estação Prefeito Saladino
http://www.wikidata.org/entity/Q10276070,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.76175 -23.53125),Estação Presidente Altino
http://www.wikidata.org/entity/Q10276070,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.76175 -23.53125),Estação Presidente Altino
http://www.wikidata.org/entity/Q17599941,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.691734 -23.723465),Estação Primavera-Interlagos
http://www.wikidata.org/entity/Q10276083,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.807138888 -23.52275),Estação Quitaúna
http://www.wikidata.org/entity/Q7314773,http://www.wikidata.org/entity/Q3308457,Linha 4 do Metrô de São Paulo,Point(-46.642799 -23.544081),Estação República
http://www.wikidata.org/entity/Q7314773,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.642799 -23.544081),Estação República
http://www.wikidata.org/entity/Q10276094,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.41451986 -23.7137766),Estação Ribeirão Pires
http://www.wikidata.org/entity/Q10276096,http://www.wikidata.org/entity/Q5245819,Linha 10 do Trem Metropolitano de São Paulo,Point(-46.39175753 -23.7432607),Estação Rio Grande da Serra
http://www.wikidata.org/entity/Q7396901,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.60256 -23.60128),Estação Sacomã
http://www.wikidata.org/entity/Q10276117,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.91726 -23.52914),Estação Sagrado Coração
http://www.wikidata.org/entity/Q7419299,http://www.wikidata.org/entity/Q3294315,Linha 3 do Metrô de São Paulo,Point(-46.649644 -23.538711),Estação Santa Cecília
http://www.wikidata.org/entity/Q7419392,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.636681 -23.599162),Estação Santa Cruz
http://www.wikidata.org/entity/Q7419392,http://www.wikidata.org/entity/Q3308465,Linha 5 do Metrô de São Paulo,Point(-46.636681 -23.599162),Estação Santa Cruz
http://www.wikidata.org/entity/Q10344494,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.94778 -23.54489),Estação Santa Rita
http://www.wikidata.org/entity/Q10276133,http://www.wikidata.org/entity/Q3296720,Linha 8 do Trem Metropolitano de São Paulo,Point(-46.84803 -23.51662),Estação Santa Terezinha
http://www.wikidata.org/entity/Q7420037,http://www.wikidata.org/entity/Q3362568,Linha 1 do Metrô de São Paulo,Point(-46.624727 -23.502484),Estação Santana
http://www.wikidata.org/entity/Q5244808,http://www.wikidata.org/entity/Q5245848,Linha 9 do Trem Metropolitano de São Paulo,Point(-46.720428 -23.655693),Estação Santo Amaro
http://www.wikidata.org/entity/Q7420602,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.620741 -23.595935),Estação Santos-Imigrantes
http://www.wikidata.org/entity/Q3065820,http://www.wikidata.org/entity/Q588499,Linha 2 do Metrô de São Paulo,Point(-46.677588 -23.550637),Estação Santuário Nossa Senhora de Fátima-Sumaré
